meaning_id,mean
163,පරාහරණය කරනවා
164,ප්‍රහරණය
165,අපනයනය
166,අපහරණය
167,පරාහණය
168,පැහැර ගෙන යෑම
169,පැහැරගෙන යාම
170,බලාත්කාරයෙන් ගෙන යෑම
171,පරාහාරකයා
172,ගුවන් නැවක දික්භාගයට ලම්බාකාරව පිහිටි
173,ඇඳෙහි
174,පර්ය්‍යංකස්ථව
175,පලක් බැඳ
176,සුදු පොප්ලර්
177,අපේරණ
178,අමාර්ගගාමී
179,ඉබා ගාතේ යන
180,නොමග යන
181,නොමඟ යන
182,නිසි මගින් බැහැර යනවා
183,සමයම් කරනවා
184,අනුබල දෙනවා
185,වරදට අනුබල දෙනවා
186,වරදට පොළඹවනවා
187,අනුබල දීම
188,උදවු දෙන්නා
189,හවුල්කාරයා
190,අනුබල දෙන්නා
191,අත්හිටීම
192,කලකට නතරවීම
193,තාවකාලික නැවැත්වීම
194,තාවකාලිකව නවතා තැබීම
195,තාවකාලිකව නැවතී තිබීම
196,කලකට අත්හිටවීම
197,කලකට අත්හිටි
198,තාවකාලිකව නැවැත්වූ
199,බගිරි
200,බයගිරිය
201,බිදම්
202,විජම්
203,අප්‍රිය කරනවා
204,නුරුස්සනවා
205,පිළිකුල් කරනවා
206,පිළිකුල
207,නීච
208,පිළිකුල් කටයුතු
209,පිළිකුල් සහිත
210,අරුවය
211,අප්‍රියජනක
212,පිළිකුල් කරන්නා
213,ඉන්නවා
214,ඉවසනවා
215,එකඟ වෙනවා
216,නවතිනවා
217,පවතිනවා
218,පොරොත්තුව සිටිනවා
219,බැඳෙනවා
220,රුස්සනවා
221,වාසය කරනවා
222,වෙනස් නොවන
223,ස්ථීර
224,පරිහාරී
225,අබියෙටික
226,දාසිය
227,දාසී
228,පරිවාරක ස්ත්‍රිය
229,පරිවාරිකාව
230,දක්ෂකම
231,පුළුවන්කම
232,පෝමන්
233,බලය
234,බැරිපුළුවන්කම
235,ශක්තිය
236,සපන්කම
237,සවිය
238,ස්ථාම
239,සාමර්ථයය
240,හැකිබව
241,හැකියාව
242,හුරුකම
243,අවජනනය
244,අවාජ්ජනනය
245,සපපාතික උත්පත්තිය
246,සපපාතික උපත
247,ස්වයංජාතය
248,අවජනක
249,සපපාතික
250,ස්වයංජාත
251,අවකාය විද්‍යාව
252,අවය
253,අප්‍රාණික
254,අව
255,අධම
256,තුච්ච
257,දුක්ඛිත
258,දුක්ඛිතයා
259,දුහ්ඛිත
260,දුහ්ඛිතයා
261,නිහීන
262,තුච්ඡභාවය
263,දුක්ඛිතභාවය
264,දුහ්ඛිතභාවය
265,නිහීනත්වය
266,නීචභාවය
267,නීච ලෙස
268,ප්‍රතික්ෂේප කිරීම
269,දිවුරා අත්හරිනවා
270,අපහායනය
271,ගෙවී යනවා
272,ගෙවෙනවා
273,අවධි විභක්තිය
274,අවධි විභක්තියේ ඇති
275,අජ්විපරිණාමය
276,ස්වර අනම්‍යය
277,ඇවිළගත්
278,ඇවිළුණු
279,ගිනි ගත්
280,ගිනිගත්
281,දැල්වෙන
282,දිලිසෙන
283,ක්ෂම
284,දක්ෂ
285,ප්‍රබල
286,පිළිවන්
287,පුළුවන්
288,ශක්තිමත්
289,ඒකාන්ත
290,පිපෙන
291,ලජ්ජාවෙන් මුහුණ රතු වී
292,නෑම
293,පරිත්‍ර කිරීම
294,පවිත්‍ර කිරීම
295,ශරීරකෘත්‍යය
296,ශුද්ධ කිරීම
297,ස්නානය කොට පිරිසිදු වීම
298,නා පිරිසිදු වන
299,දක්ෂ ලෙස
300,පිපෙමින්
301,අපමාතිය
302,අයිතිවාසිකම අත්හරිනවා
303,ත්‍යජනය කරනවා
304,පිළිගැනීම අත්හරිනවා
305,මතය අත්හරිනවා
306,අනියම්
307,අපසාමාන්‍ය
308,අප්‍රමත
309,අවප්‍රමාණ
310,අස්වාභාවික
311,අසාමාන්‍ය
312,පුදුම
313,අසාමාන්‍යභාවය
314,අනියම් බව
315,අප්‍රමතිය
316,අසාමාන්‍යත්වය
317,අසාමාන්‍යය
318,විපරීතය
319,විශේෂය
320,අනියම් ලෙසින්
321,අසාමාන්‍ය ලෙස
322,රියකට ගොඩ වී
323,විපරීතව
324,දුම්රියේ
325,නැවේ
326,යාත්‍රාවකට ගොඩ වී
327,යාත්‍රාවේ
328,වාහනයක
329,ආල
330,ආවාසය
331,ආශය
332,ඇබ්සම
333,නියෝම
334,අවලංගු කරනවා
335,අහෝසි කරනවා
336,ආලෝපනය කරනවා
337,ඉවත් කරනවා
338,නැති කරනවා
339,අවලංගු කිරීම
340,ආලෝපනය
341,ඉවත් කිරීම
342,නැති කිරීම
343,නැතිකිරීම
344,අවලංගු කිරීමට ක්‍රියා කරන්නා
345,අශික්ෂිත
346,තුච්ඡ
347,=ද්වෙෂ කරනවා
348,ද්වේෂ කරනවා
349,ගර්භාව
350,ද්වෙෂය
351,ද්වේෂය
352,අපමුඛ
353,අපමෞඛ
354,මෞලිකයා
355,ආදිවාසික
356,පළමුව ඇති වූ
357,ම්ලේච්ඡ
358,මුල් පදිංවකාර
359,රටක ආදියෙහි වූ
360,ආදිවාසියා
361,මුල් පදිංවකාරයා
362,මුල් වැසියා
363,ආදිවාසීහු
364,මුල් පදිංවකාරයෝ
365,මූලවාසීහු
366,අසාර්ථක වෙනවා
367,ගප්සා වෙනවා
368,ගබ්සා කරනවා
369,ගබ්සා වෙනවා
370,රුද්ධ
371,ගප්සා කිරීම
372,ගප්සා වීම
373,ගප්සාව
374,ගබ්සා කිරීම
375,අසම්පූර්ණ
376,අසාර්ථක
377,කාලයට කලින්
378,නිෂ්ඵල
379,අබල්‍යතාව
380,අධිකව පවතිනවා
381,ගහනව තිබෙනවා
382,බහුල වෙනවා
383,බහුලව තිබෙනවා
384,අධික
385,බහුල
386,අරබයා
387,අරභයා
388,අවට
389,එහා මෙහා
390,ගැන
391,පමණ
392,පිළිබඳ
393,වගේ
394,වටා
395,වටේ
396,සම්බන්ධව
397,සූදානමේ
398,ළඟ
399,අධි
400,ඉ
401,ඉහත
402,ඉහළ
403,ඉහළින්
404,උ
405,අවංක
406,ප්‍රකට
407,ඉහතකී
408,මෙකී
409,යථොක්ත
410,උපරි රේඛීය
411,දෙඩවිල්ලක්
412,ප්‍රලාප
413,ප්‍රලාපයක්
414,යන්ත්‍රයක ලියූ මන්ත්‍රයක්
415,විජ්ජාවක් බඳු සූත්‍රය
416,උල්ලේඛ
417,අවසූරනවා
418,උලනවා
419,උල්ලේඛ කරනවා
420,සූරනවා
421,ඉලුම්
422,අපමර්ශනය
423,අපමර්ෂණය
424,අවසිරීම
425,අවසීරීම
426,උල්ලේඛනය
427,උල්ලේඛනය කිරීම
428,උල්ලේඛය
429,ගෙවී යෑම
430,ඝර්ෂණය
431,සීරී යෑම
432,සීරීම
433,සීරීමෙන් වූ තුවාලය
434,සීරුම
435,සීරුව
436,අවසීරුම් ද්‍රව්‍යය
437,ඇබ්‍රම් වර්ණය
438,අපසර්ජනය
439,කළිත් යටපත් කර තිබූ අදහසක් නිදහසේ ප්‍රකාශ කි
440,උරෙන් උර ගැසී
441,එක පමණට
442,එක පෙළට
443,පෙළට
444,ළඟලඟ
445,ලුහු කිරීම
446,එතෙර
447,ගෙදරින් පිට
448,පතළව
449,පිටරට
450,විශාලව
451,අපලෝපනය කරනවා
452,අපලුප්ත
453,අපලෝපනය
454,අපලෝපනීය
455,අනපේක්ෂිත
456,අසම්බද්ධ
457,ආකස්මික
458,ඒකපාත
459,ක්ෂණික
460,ප්‍රපාත වූ
461,රළු
462,හදිසි
463,හදිසියේ කෙළවර වන
464,ආකස්මිකව
465,බලාපොරොත්තුවක් නැතිව
466,හදිසියෙන්
467,හිටි අඩියේම
468,ඒකපාතය
469,බලාපොරොත්තුවක් නැතිව සිදුවීම
470,ගජුව
471,ගඩුව
472,බාංතෝලින් විස්ඵෝටය
473,වරන්තන විස්ඵෝටය
474,සිසිල් විස්ඵෝටය
475,කටී විස්ඵෝටය
476,ප්‍රොථකයේ විස්ඵෝටය
477,කපා දමනවා
478,තිරස් ඛණ්ඩය
479,තිරස් ඛණ්ඩාංකය
480,තිරස්ඛණ්ඩය
481,තිරස්ඛණ්ඩාංකය
482,පාටිකය
483,කපා හැරීම
484,කපාදැමීම
485,ඡේදනය
486,අපපලායනවා
487,කට්ටි පනිනවා
488,මඟ හරිනවා
489,මඟහැර පැන යනවා
490,රහසින් පළා යනවා
491,විසැඟවෙනවා
492,සැඟවිල්ලේ සිටිනවා
493,සැඟවී සිටිනවා
494,හදිසියෙන් පළා යනවා
495,අපපලායිත
496,අපපලායික
497,පැන ගොස් සැඟවී සිටින්නා
498,පැනගොස් සැඟවී සිටින්නා
499,මඟ හැර සිටින්නා
500,විසැඟවුණු තැනැත්තා
501,තද බෑවුමක් ඇති පර්වතයක් ඉහලින් ගැට ගසන ලද කඹය
502,අප්‍රාප්තිය
503,නොපැමිණ සිටි කාලය
504,නොපැමිණි බව
505,නොපැමිණිකාලය
506,නොපැමිණීම
507,ප්‍රවාසය
508,පිට පදිංවිය
509,ළඟ නැති බව
510,අනබිමුඛ
511,අවිද්‍යමාන
512,අවිද්‍යාමාන
513,අසම්මුඛ
514,නොපැමිණ සිටිනවා
515,නොපැමිණි
516,පිට සිටින
517,විරහිත
518,ළඟ නැති
519,අමතක වන
520,අමතක වනසුලු
521,අවසිහි
522,මතක නැති
523,සිත යොමු නොකරන
524,සිහි කල්පනාව අඩු
525,අප්‍රාප්තියා
526,නොපැමිණියාව
527,නොපැමිණීමේ නැඹුරුව
528,ප්‍රවාසතාව
529,ප්‍රවාසිතාව
530,විරහිතතාව
531,සේවයට වාර්තා නොකිරීම
532,පරිවර්ජනය
533,විරතිය
534,විරමණය
535,නොතන්සිහියාව
536,අභිප්‍රාය
537,පෙරූ මත්පැන් වර්ගයක්
538,අත්තනොමතික
539,අපණ්ණ
540,අබාධිත
541,අවිශේෂ
542,උදක්
543,නිරපේක්ෂ උෂ්ණත්වය
544,පරමය
545,කේවලතාව
546,පූර්ණත්වය
547,ක්ෂමාව
548,නිදහස
549,පව්සමාව
550,පාපමුක්තිය
551,පාපමෝචනය
552,විමුක්තිය
553,විශෝධනය
554,නිරපේක්ෂතාවාදය
555,පරමවාදය
556,පරමාර්ථවාදය
557,නිදොස් කරනවා
558,පව්සමාකරනවා
559,වරදින් නිදහස් කරනවා
560,විමුක්ත කරනවා
561,විශෝධනය කරනවා
562,සමාහිත
563,අන්තර්ග්‍රහණය කරනවා
564,අවශෝෂණය කරනවා
565,අවශෝෂණය වෙනවා
566,අහනවා
567,ඇදගන්නවා
568,උරනවා
569,උරා ගන්නවා
570,උරාගන්නවා
571,බී ගන්නවා
572,බීගන්නවා
573,අවශෝෂ්‍යතාව
574,අවශෝෂිතය
575,ගැලුණු
576,නිමග්න
577,නියැලි
578,විනිවේශිත
579,අවශෝෂකතාව
580,අවශෝෂණතාව
581,අවශෝෂක
582,අවශෝෂකය
583,උරාගන්න
584,උරාගන්නා
585,බීගන්න
586,අවශෝෂණකාරකය
587,ප්‍රචුෂික
588,සිත් අලවන
589,අවශෝෂණමානය
590,අන්තර්ග්‍රහණය
591,අන්තර්ග්‍රහනය
592,අවශෝෂණය
593,ඇලී සිටීම
594,උකහා ගැනීම
595,උකහාගැනීම
596,උරා ගැනීම
597,උරාගැනීම
598,තත්පර වීම
599,දැහැන
600,ධ්‍යානය
601,ප්‍රතිශෝෂණය
602,විලයනය
603,සංවිලයනය
604,උරාගන්න සුලු
605,මිදෙනවා
606,වළකිනවා
607,වැළකෙනවා
608,වළකින්නා
609,වැළකෙන්නා
610,නිස්ථිති පැරඩය
611,කෑමෙහි පමණ දත්
612,මත්පැණින් වැලකුණු
613,මත්පැනින් වැළකුණු
614,උපවාසය
615,මිදීම
616,වැළකීම
617,පිරිසිදු කරනවා
618,පිස දමනවා
619,ශූද්ධ කරනවා
620,ක්ෂාලකය
621,පවිත්‍රකාරක
622,පිරිසිදු කරන
623,පරිවර්ජන
624,වළකින
625,අමුර්ත
626,අමූර්ත
627,ඇද ගන්නවා
628,උද්ධ්‍රැතය
629,උද්ධෲතය
630,උධෘතය
631,උපුටනය
632,උපුටා ගන්නවා
633,කේවල
634,තනි
635,දුරවබෝධ
636,නිබන්ධනය
637,නිබන්ධය
638,භාව
639,භාවසූචක
640,භාවාත්මක
641,වියුක්ත
642,විසංයුක්ත
643,වෙන් කර ගන්නවා
644,වෙන් කොට ගන්නවා
645,වෙන් කොට සලකනවා
646,වෙන් කොටගත්
647,සංක්ෂේපය |
648,අමූර්ත සංඥා
649,වියුක්ත සංඥා
650,වෙන් කොට ගත්
651,වෙන් කර ගත් ලෙස
652,අමූර්තනවාදය
653,අමූර්තනාභාසය
654,වියුක්තනාභාසය
655,අමූර්තනවාදියා
656,අමූර්තනවාදී
657,අමූර්තන
658,සාර සංග්‍රහ කාරක
659,සාරාංශ
660,සාරාංශ ග්‍රන්ථ
661,අවකෝචනය
662,අමාරු
663,ගම්භීර
664,ගැඹුරු
665,ගුඩ
666,ගූඨ
667,තේරුම් ගැනීමට අපහසු
668,නොපැහැදිලි
669,නොපැහැදිලි ලෙස
670,ගැඹුරු බව
671,අභූත
672,අභූතරූපී
673,අයුක්ති සහගත
674,න්‍යායවිරොධ
675,නිරර්ථක
676,මෝඩ
677,විහිලු
678,හාස්‍යජනක
679,අභූතය
680,අභූතරූපතාව
681,අයුක්ති සහගත වීම
682,නිරර්ථකත්වය
683,මෝඩකම
684,හාස්‍යජනක ලෙස
685,සන තරම්
686,අතිබහුලතාව
687,අතිශය
688,අධිකකම
689,බහුලත්වය
690,බහුලතාව
691,සම්පත්තිය
692,සමෘද්ධ බව
693,සුලභතාව
694,අතිබහුල
695,අධික ලෙස
696,ඉහින් කනින්
697,කටගොණනක්
698,ගනසැරේට
699,සඩිහෙලේට
700,අක්‍රොශ කරනවා
701,අනිසි ලෙස යෙදීම
702,අනිසි ලෙස යොදනවා
703,අනිසිපාවිච්ය
704,අපයෙදුම
705,අපවාදය
706,අයථාභාවිතය
707,අයුතු ප්‍රයෝජන ගන්නවා
708,අයුතු ප්‍රයෝජනය
709,ආක්‍රොශය
710,ආක්‍රෝශය
711,දුෂ්ප්‍රයුක්ත කිරීම
712,දුෂ්ප්‍රයුක්තිය
713,දූෂ්‍ය කරනවා
714,නින්දාව
715,පරිභව කරනවා
716,පරිභවය
717,බනි
718,අක්‍රොශකාරී
719,අනිසි ලෙස යෙදෙනසුලු
720,අපවාදාත්මක
721,නින්දා සහගත
722,නොනිසි
723,පරිභවසහගත
724,නින්දා සහගත බව
725,නෙරා සිටිනවා
726,යා වෙනවා
727,යාව තියෙනවා
728,හේත්තු වෙනවා
729,හේත්තුව තියෙනවා
730,ආධාරය
731,යා බැම්ම
732,යා වූ කොටස
733,යාබැම්ම
734,යාව
735,හේත්තුව
736,යාවීම
737,යා වන
738,යාබද
739,හේත්තු වන
740,ඇබ්වෝල්ටය
741,අගාධය
742,අගාධ
743,අපාර
744,ආගාධ
745,ඉතා ගැඹුරු
746,පතුලක් නැති
747,පරතෙරක් නැති
748,ඇබිසීනියානු
749,අකේෂියා
750,ඇකේෂියා නම් ගස් විශේෂයක්
751,අකාර්ය්‍යක්ෂම
752,උගතුන්ට පමණක් සීමිත
753,ශාස්ත්‍රඥ
754,ශාස්ත්‍රාල
755,ශාස්ත්‍රාලයීය
756,ශාස්ත්‍රාලිය
757,ශාස්ත්‍රාලීය
758,ශාස්ත්‍රිය
759,ශාස්ත්‍රීය
760,විද්‍යාලයකට අයත්
761,විද්වතා
762,විද්‍යාලයකට අයත් පුද්ගලයා
763,ශාස්ත්‍රඥයා
764,ශාස්ත්‍රධාරියා
765,ශාස්ත්‍රාලවාදය
766,විද්වත් පර්ෂද
767,විද්‍යාපීඨය
768,විද්‍යායතනය
769,විද්‍යාලය
770,විද්‍යාස්ථානය
771,ශාස්ත්‍රාලය
772,කජු ගස
773,කජු ගෙඩිය
774,කටු සහිත
775,කටුව
776,අකැන්තස් මෝස්තරය
777,කටු සහිත පත්‍ර ඇති ශාකයක්
778,කටු සහිත පැළෑටිය
779,එකැප්නියාව
780,නිර්ධූත්‍යය
781,අකරිඩාවෝ
782,අකරිඩා ගෝත්‍රික
783,ගෙඩි නැති
784,පල නොදරන
785,වඳ
786,විඵල
787,අකරිඩාවා
788,තත්වාවබෝධය
789,තත්වානවබෝධකාරක
790,අනවබෝධය
791,විභණ්‍යතාව
792,තත්වානවබෝධය
793,ආහාර සපයන්නා
794,වලිගය නැති
795,අස්කන්ධීය
796,කඳ නැති
797,අස්කන්ධිය
798,මන්දෝත්සාහී
799,ඇකේෂියා
800,අනුමත කරනවා
801,අනුමතිය
802,එකඟත්වය
803,එකතුවීම
804,අනුමත කරන්නා
805,එකඟ වන්නා
806,අධිවේගී කරනවා
807,ඉක්මන් කරනවා
808,කඩිනම් කරනවා
809,ත්වරණය කරනවා
810,ත්වරණය වෙනවා
811,ත්වරීත කරනවා
812,වේගය වැඩි කරනවා
813,ත්වරිත
814,වේගය වැඩි කළ
815,ඉක්මන් කිරීම
816,කඩිනම් කිරීම
817,ත්වරණය
818,වේගය වැඩි කිරීම
819,ඇක්සලරේටරය
820,ත්වරකය
821,ත්වරක
822,වේගවත් කරන
823,ඇක්සලරෝමීටරය
824,ත්වරණමානය
825,දල්වනවා
826,දැල්වීම
827,ප්‍රාප්තිය
828,රාජ්‍යපද ප්‍රාප්තිය
829,අවධාරණය
830,උච්චාරණ ලකුණ
831,උච්චාරණ විධිය
832,උද්දීපනය
833,උදාත්තය
834,දේශීය උච්චාරණ විධිය
835,ප්‍රාසය
836,බර කරනවා
837,බර කොට කියනවා
838,බර කොට දක්වනවා
839,ස්වරණය
840,ස්වරාඝාතය
841,හජනගා කියනවා
842,උච්චාරණය කළ
843,ප්‍රස්ත
844,ස්වරයන්ගේ උච්චාරණය දක්වනවා
845,ඒත්තුගන්නවා
846,කර පින්නා ගන්නවා
847,ප්‍රතිග්‍රහණය කරනවා
848,පිළිගන්නවා
849,බාර ගන්නවා
850,බාරගන්නවා
851,භාර ගන්නවා
852,ප්‍රතිග්‍රහණක්ෂමතාව
853,ප්‍රතිගෘහ්‍යතාව
854,පිළිගතහැකි බව
855,පරිග්‍රාහක
856,ප්‍රාමාණික
857,ප්‍රිය
858,පිළිගත හැකි
859,පිළිගතමනා
860,භාර ගත හැකි
861,පරිග්‍රහ
862,පරිග්‍රහණය
863,පරිග්‍රහය
864,ප්‍රතිග්‍රහණය
865,ප්‍රතිශ්‍රවණය
866,පිළිගැන්ම
867,පිළිගැනීම
868,පිළිගැනුම
869,පිළිණ
870,පොරොන්දු පත්‍රය
871,බාරගැනීම
872,භාර ගැනීම
873,ලැබීම
874,වැටහීම
875,සතුට
876,සම්මති
877,සම්මුතිය
878,ප්‍රතිගෘහිත
879,පිළිගත්
880,බාරගත්
881,ඇක්සෙප්ටිලාටියෝව
882,ණයෙන් නිදහස් වීම
883,ප්‍රතිග්‍රාහක
884,ප්‍රතිග්‍රාහකය
885,ප්‍රතිග්‍රාහකයා
886,පිළිගන්නා
887,බාරගන්නා
888,කිට්ටුවීම
889,පරිශීලනය
890,ප්‍රවේශ වීමේ බලය
891,ප්‍රවේශ වීමේ මාර්ගය
892,ප්‍රවේශය
893,පිවිසුම
894,ලාභය
895,සම්ප්‍රවේශය
896,අවසහායක
897,උපකාරක
898,උපකාරකය
899,උපකාරී හේතුව
900,සුළභ වීම
901,ළඟාවිය හැකි බව
902,කිට්ටුවිය හැකි
903,ගම්‍ය
904,ප්‍රවේශ්‍ය
905,පිවිසිය හැකි
906,බලා ගත හැකි
907,සුගම
908,සුලභ
909,ළඟා විය හැකි
910,ආබද්ධය
911,අනුබැඳුම
912,උදව්කාර
913,සහායක
914,අතිරේක
915,නිපාතනවිධිය
916,නෛරුක්තිකවිධි
917,වරනැගීම
918,අත්වැරැද්ද
919,අනතුර
920,අහම්බය
921,අහඹුව
922,ආකස්මිකත්වය
923,ආපාතය
924,උපලක්ෂණය
925,හදිසි අනතුර
926,හදිසිය
927,අනතුරුවලට බඳුන් විය හැකි
928,අනතුරුවලට භාජනය විය හැකි
929,අහම්බ
930,අහම්බෙන් සිදු වූ
931,අහම්ඹ
932,අහඹු
933,ආකස්මිකවාදය
934,අහම්බෙන්
935,බලාපොරොත්තු නොවූ ලෙස
936,හදිස්සියෙන්
937,ගම්‍යතාව
938,රාජ්‍ය ප්‍රාප්තිය
939,ගෞරවයෙන් පිළිගන්නවා
940,ප්‍රීතිඝෝෂා කරනවා
941,ප්‍රීතිඝෝෂා පවත්වනවා
942,ප්‍රීතියෙන් පිළිගන්නවා
943,අත්පොළසන් දීම
944,ප්‍රශංසාව
945,ප්‍රස්තවනය
946,ප්‍රීතිඝෝෂාව
947,අනුකූලනය
948,දේශගුණයට පුරුදු කරනවා
949,දේශගුණයට හුරු වෙනවා
950,දේශයට හුරු වෙනවා
951,පරිසරයට පුරුදු කරනවා
952,කඳු බෑවුම
953,නැගුම
954,අත්‍යන්ත වර්ණනාව
955,ගෞරවයක් පිරිනැමීම
956,ඉඩ දෙනවා
957,ඉඩ සලසනවා
958,උදව් වෙනවා
959,උපකාර කරනවා
960,ගැළපෙන සේ යොදනවා
961,නවාතැන් දෙනවා
962,ප්‍රතියෝජනය කරනවා
963,සපයා දෙනවා
964,සලසනවා
965,සැලසෙනවා
966,අවස්ථානුරූප වූ
967,වුවමනා ඉටු කරන
968,සහනයක් දෙන
969,අනුග්‍රහය
970,අවසාරණය
971,ඉඩ සැලසීම
972,ඉඩකඩ
973,උපකාරය
974,උපයෝගි කිරීම
975,පතියෝජනය
976,ප්‍රතියෝජනය
977,පිළිසරණ
978,මුදලක් ණයට දීම
979,ව්‍යවස්ථාපනය
980,වාසස්ථානය
981,විසුම් ඉඩ
982,හැඩ ගැසීම
983,අනුග්‍රාහක
984,ඉඩ සලසන
985,සමග පවත්නා දේ
986,සහායනය
987,වාදකයා
988,ඇරලනවා
989,එකට යනවා
990,එක්ක එනවා
991,එක්ක යනවා
992,එක්ව යනවා
993,කැටුව යනවා
994,අනුගාමී
995,සහගත
996,සහචර
997,අපරාධ සහායක
998,අපරාධසහායක
999,අපසහායක
1000,අපසහායකයා
1001,වරදෙහි හවුල් කාරයා
1002,සහාපරාධියා
1003,ඉටු කරනවා
1004,ඉටුකරනවා
1005,ඉෂ්ට කරනවා
1006,සම්පූර්ණ කරනවා
1007,ඉටු කළ
1008,ඉෂ්ට වූ
1009,නිපුණ
1010,ප්‍රවීණ
1011,විශාරද
1012,සිද්ධ කළ
1013,හසළ
1014,අර්ථසිද්ධිය
1015,ඉටුකිරීම
1016,කෞශල්‍යය
1017,නිපුණත්වය
1018,සම්ප්‍රසාධනය
1019,සම්පාදනය
1020,සමාප්තිය
1021,සිද්ධිය
1022,අන්‍යෙන්‍ය ගැළපීම
1023,අනුකූලතාව
